2025-03-10 06:15:11,451 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.494222 | Sell (KucoinExchange eff.): 0.615098 | Ticker Profit: 24.93% | Liquidity Profit: 24.46% | Profit (USDT): 48.997510 | Invested (USDT): 200.336250 | Qty Purchased: 405.3565 | Liquidity Info: Buy Levels: [[0.4929, 149.0], [0.4937, 10.718], [0.4938, 25.443], [0.4939, 10.129], [0.494, 122.375], [0.4946, 34.57], [0.4948, 84.375], [0.4951, 51.0], [0.4952, 40.555], [0.4953, 84.375]]; Sell Levels: [[0.6158, 243.4039], [0.6157, 77.2501], [0.6112, 7.7524], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437], [0.6087, 6.1082]] | Extra: Weighted Buy Price: 0.493729, Weighted Sell Price: 0.615713; Breakdown Buy: [(0.4929, 149.0), (0.4937, 10.718), (0.4938, 25.443), (0.4939, 10.129), (0.494, 122.375), (0.4946, 34.57), (0.4948, 53.12146135159227)]; Breakdown Sell: [(0.6158, 243.4039), (0.6157, 77.2501), (0.6112, 4.451878857096801)]; 
2025-03-10 06:17:30,742 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.036737 | Sell (KucoinExchange eff.): 0.049783 | Ticker Profit: 35.94% | Liquidity Profit: 35.51% | Profit (USDT): 71.023269 | Invested (USDT): 200.000000 | Qty Purchased: 5444.1471 | Liquidity Info: Buy Levels: [[0.0367, 9114.32], [0.0368, 51139.42], [0.0369, 61834.17], [0.037, 117840.07], [0.0371, 86529.65], [0.0372, 47925.52], [0.0373, 24946.02], [0.0374, 20829.36], [0.0375, 20419.21], [0.0376, 37388.1]]; Sell Levels: [[0.0499, 618.6], [0.04982, 5094.7], [0.04974, 989.9], [0.04973, 5016.6], [0.04965, 5016.6], [0.04957, 5016.6], [0.04947, 5164.6], [0.04933, 198.7], [0.04932, 5016.6], [0.0492, 5016.6]] | Extra: Weighted Buy Price: 0.036700, Weighted Sell Price: 0.049832; Breakdown Buy: [(0.0367, 5444.1471335204305)]; Breakdown Sell: [(0.0499, 618.6), (0.04982, 3393.4280601242526)]; 
2025-03-10 06:23:15,833 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.493772 | Sell (KucoinExchange eff.): 0.614906 | Ticker Profit: 25.11% | Liquidity Profit: 24.53% | Profit (USDT): 49.272342 | Invested (USDT): 200.846461 | Qty Purchased: 406.7594 | Liquidity Info: Buy Levels: [[0.4912, 16.934], [0.4929, 39.5857], [0.493, 149.0], [0.4934, 10.639], [0.4935, 35.806], [0.4936, 22.374], [0.4937, 29.473], [0.4938, 49.997], [0.4939, 12.745], [0.494, 1431.86]]; Sell Levels: [[0.6156, 243.4039], [0.6155, 77.2501], [0.6117, 23.2], [0.6112, 7.7524], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437]] | Extra: Weighted Buy Price: 0.493279, Weighted Sell Price: 0.615522; Breakdown Buy: [(0.4912, 16.934), (0.4929, 39.5857), (0.493, 149.0), (0.4934, 10.639), (0.4935, 35.806), (0.4936, 22.374), (0.4937, 29.473), (0.4938, 49.997), (0.4939, 12.745), (0.494, 40.20566441408756)]; Breakdown Sell: [(0.6156, 243.4039), (0.6155, 77.2501), (0.6117, 4.55750129987041)]; 
2025-03-10 06:25:38,206 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.036436 | Sell (KucoinExchange eff.): 0.051953 | Ticker Profit: 43.20% | Liquidity Profit: 42.59% | Profit (USDT): 85.170312 | Invested (USDT): 200.000000 | Qty Purchased: 5489.0165 | Liquidity Info: Buy Levels: [[0.0364, 90903.14], [0.0365, 31130.25], [0.0366, 90197.63], [0.0367, 136888.9], [0.0368, 77303.91], [0.0369, 24541.11], [0.037, 21313.09], [0.0371, 22491.37], [0.0372, 20297.7], [0.0373, 20297.7]]; Sell Levels: [[0.05202, 846.4], [0.05201, 725.2], [0.052, 1745.7], [0.05199, 5016.6], [0.05189, 2030.1], [0.05188, 5016.6], [0.05172, 5016.6], [0.05167, 143.2], [0.05153, 198.7], [0.05152, 5016.6]] | Extra: Weighted Buy Price: 0.036400, Weighted Sell Price: 0.052005; Breakdown Buy: [(0.0364, 5489.016478027467)]; Breakdown Sell: [(0.05202, 846.4), (0.05201, 725.2), (0.052, 1745.7), (0.05199, 531.223648600542)]; 
2025-03-10 06:31:28,203 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.489018 | Sell (KucoinExchange eff.): 0.610022 | Ticker Profit: 25.86% | Liquidity Profit: 24.74% | Profit (USDT): 49.522207 | Invested (USDT): 200.134922 | Qty Purchased: 409.2589 | Liquidity Info: Buy Levels: [[0.4882, 39.5857], [0.4883, 66.999], [0.4884, 74.731], [0.4885, 116.047], [0.4889, 112.0126], [0.489, 60.988], [0.4895, 26.012], [0.49, 1981.999], [0.4901, 66.84], [0.4902, 50.975]]; Sell Levels: [[0.6117, 28.1], [0.6112, 7.7524], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437], [0.6087, 6.1082], [0.6085, 0.6866]] | Extra: Weighted Buy Price: 0.488529, Weighted Sell Price: 0.610633; Breakdown Buy: [(0.4882, 39.5857), (0.4883, 66.999), (0.4884, 74.731), (0.4885, 116.047), (0.4889, 111.89620987341212)]; Breakdown Sell: [(0.6117, 28.1), (0.6112, 7.7524), (0.6103, 45.645), (0.6101, 0.8917), (0.61, 1.2566), (0.6095, 0.3356), (0.6089, 0.2889), (0.6088, 2.0437), (0.6087, 6.1082), (0.6085, 0.6866)]; 
2025-03-10 06:33:47,432 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.036637 | Sell (KucoinExchange eff.): 0.052703 | Ticker Profit: 45.33% | Liquidity Profit: 43.85% | Profit (USDT): 87.706946 | Invested (USDT): 200.000000 | Qty Purchased: 5459.0219 | Liquidity Info: Buy Levels: [[0.0366, 44209.66], [0.0367, 84490.77], [0.0368, 55121.01], [0.0369, 64051.2], [0.037, 123865.16], [0.0371, 27405.31], [0.0372, 21690.19], [0.0373, 20297.7], [0.0374, 20829.36], [0.0375, 20419.21]]; Sell Levels: [[0.05277, 869.8], [0.05276, 689.6], [0.05275, 1997.0], [0.05274, 4777.4], [0.05266, 4777.4], [0.05259, 15.0], [0.05258, 4777.4], [0.05248, 4777.4], [0.05243, 139.0], [0.0524, 4777.4]] | Extra: Weighted Buy Price: 0.036600, Weighted Sell Price: 0.052756; Breakdown Buy: [(0.0366, 5459.021852464476)]; Breakdown Sell: [(0.05277, 869.8), (0.05276, 689.6), (0.05275, 1997.0), (0.05274, 237.42604131514554)]; 
2025-03-10 06:33:52,188 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'MAK/USDT', 'bitget': 'MAK/USDT'} | Buy (KucoinExchange eff.): 0.018175 | Sell (BitgetExchange eff.): 0.018324 | Ticker Profit: 3.08% | Liquidity Profit: 0.82% | Profit (USDT): 1.654428 | Invested (USDT): 202.079408 | Qty Purchased: 11118.5420 | Liquidity Info: Buy Levels: [[0.01797, 79.0], [0.01799, 375.1], [0.01804, 1381.1], [0.01806, 1127.8], [0.01819, 4279.0], [0.0182, 10.0], [0.01821, 5466.0], [0.01824, 1314.7], [0.0184, 776.0], [0.01841, 79.0]]; Sell Levels: [[0.01838, 5000.0], [0.01831, 10608.47], [0.01823, 22100.05], [0.01822, 5000.0], [0.01821, 1148.18], [0.0182, 2334.37], [0.01811, 9247.66], [0.0181, 18001.41], [0.01801, 1080.36], [0.018, 34107.7]] | Extra: Weighted Buy Price: 0.018157, Weighted Sell Price: 0.018342; Breakdown Buy: [(0.01797, 79.0), (0.01799, 375.1), (0.01804, 1381.1), (0.01806, 1127.8), (0.01819, 4279.0), (0.0182, 10.0), (0.01821, 3866.542003350017)]; Breakdown Sell: [(0.01838, 5000.0), (0.01831, 5892.285103384123)]; 
2025-03-10 06:39:45,856 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.490632 | Sell (KucoinExchange eff.): 0.610871 | Ticker Profit: 25.40% | Liquidity Profit: 24.51% | Profit (USDT): 49.048151 | Invested (USDT): 200.139389 | Qty Purchased: 407.9220 | Liquidity Info: Buy Levels: [[0.4898, 154.1155], [0.4899, 26.068], [0.4904, 1986.375], [0.4905, 66.985], [0.4906, 51.096], [0.4907, 747.899], [0.4908, 11.068], [0.4911, 153.043], [0.4912, 11.155], [0.4915, 48.959]]; Sell Levels: [[0.6117, 271.7411], [0.6112, 7.7524], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437], [0.6087, 6.1082], [0.6085, 0.6866]] | Extra: Weighted Buy Price: 0.490141, Weighted Sell Price: 0.611482; Breakdown Buy: [(0.4898, 154.1155), (0.4899, 26.068), (0.4904, 227.7385085753365)]; Breakdown Sell: [(0.6117, 271.7411), (0.6112, 7.7524), (0.6103, 45.645), (0.6101, 0.8917), (0.61, 1.2547439270887395)]; 
2025-03-10 06:42:13,045 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.036497 | Sell (KucoinExchange eff.): 0.052680 | Ticker Profit: 45.18% | Liquidity Profit: 44.34% | Profit (USDT): 88.828950 | Invested (USDT): 200.330407 | Qty Purchased: 5489.0165 | Liquidity Info: Buy Levels: [[0.0364, 2188.25], [0.0365, 131967.34], [0.0366, 21898.27], [0.0367, 126689.77], [0.0368, 58768.83], [0.0369, 52831.35], [0.037, 20297.7], [0.0371, 23506.76], [0.0372, 20297.7], [0.0373, 20297.7]]; Sell Levels: [[0.05274, 896.7], [0.05273, 4777.4], [0.05265, 4777.4], [0.05258, 2003.5], [0.05257, 4777.4], [0.05243, 139.0], [0.0524, 4777.4], [0.05231, 4777.4], [0.05224, 198.7], [0.05223, 4777.4]] | Extra: Weighted Buy Price: 0.036460, Weighted Sell Price: 0.052732; Breakdown Buy: [(0.0364, 2188.25), (0.0365, 3300.766478027467)]; Breakdown Sell: [(0.05274, 896.7), (0.05273, 2899.2840766059953)]; 
2025-03-10 06:48:06,593 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.488646 | Sell (KucoinExchange eff.): 0.610874 | Ticker Profit: 25.45% | Liquidity Profit: 25.01% | Profit (USDT): 50.074119 | Invested (USDT): 200.187936 | Qty Purchased: 409.6785 | Liquidity Info: Buy Levels: [[0.4877, 49.2824], [0.4878, 51.0], [0.4882, 141.439], [0.4883, 145.812], [0.4887, 10.662], [0.4889, 23.921], [0.4897, 40.151], [0.4898, 189.7163], [0.4903, 149.0], [0.4906, 50.2636]]; Sell Levels: [[0.6121, 28.1], [0.6117, 104.8329], [0.6116, 146.84], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437], [0.6087, 6.1082]] | Extra: Weighted Buy Price: 0.488158, Weighted Sell Price: 0.611486; Breakdown Buy: [(0.4877, 49.2824), (0.4878, 51.0), (0.4882, 141.439), (0.4883, 145.812), (0.4887, 10.662), (0.4889, 11.483090465859794)]; Breakdown Sell: [(0.6121, 28.1), (0.6117, 104.8329), (0.6116, 146.84), (0.6103, 45.645), (0.6101, 0.8917), (0.61, 0.7614671462182728)]; 
